LOSSLESS | cockpit_vision_bg.png (0.75MB) -> cockpit_vision_bg.webp (1.05MB)
LOSSLESS | Fachadachia.png (2.59MB) -> Fachadachia.webp (1.96MB)
LOSSLESS | FachadaIbague.png (1.95MB) -> FachadaIbague.webp (1.44MB)
LOSSLESS | runway_operations_bg.png (0.72MB) -> runway_operations_bg.webp (1.01MB)
LOSSY q90 | Convalidaciones y Nievelación.jpg (3.72MB) -> Convalidaciones y Nievelación.webp (0.70MB)
LOSSY q90 | Convalidaciones.jpg (1.40MB) -> Convalidaciones.webp (0.19MB)
LOSSY q90 | Despachador de Aeronaves.jpg (3.47MB) -> Despachador de Aeronaves.webp (0.65MB)
LOSSY q90 | DPA.jpg (2.75MB) -> DPA.webp (0.56MB)
LOSSY q90 | Nivelación Operacional.jpg (2.93MB) -> Nivelación Operacional.webp (0.45MB)
LOSSY q90 | PCA.jpg (1.97MB) -> PCA.webp (0.28MB)
LOSSY q90 | Piloto comercial de Avión.jpg (3.65MB) -> Piloto comercial de Avión.webp (0.68MB)
LOSSY q90 | Piloto privado de avión.jpg (3.62MB) -> Piloto privado de avión.webp (0.68MB)
LOSSY q90 | PPA.jpg (2.01MB) -> PPA.webp (0.40MB)
LOSSY q90 | TCP.jpg (1.55MB) -> TCP.webp (0.25MB)
LOSSY q90 | Tripulante de Cabina de pasajeros.jpg (3.49MB) -> Tripulante de Cabina de pasajeros.webp (0.65MB)
LOSSLESS | Boeing HD.png (2.24MB) -> Boeing HD.webp (1.67MB)
LOSSLESS | Cessna HD.png (2.43MB) -> Cessna HD.webp (1.67MB)
LOSSLESS | Piper HD.png (2.11MB) -> Piper HD.webp (1.54MB)
LOSSLESS | Simulador A320 HD.png (2.40MB) -> Simulador A320 HD.webp (1.67MB)
LOSSY q90 | IFR PW.jpg (0.90MB) -> IFR PW.webp (0.13MB)
LOSSY q90 | Recobro Autonomía PW.jpg (0.89MB) -> Recobro Autonomía PW.webp (0.12MB)
LOSSY q90 | UAS PW.jpg (0.56MB) -> UAS PW.webp (0.13MB)
LOSSLESS | Aviones Hangar.png (4.51MB) -> Aviones Hangar.webp (2.86MB)
LOSSY q90 | dpa mantenimiento.jpg (10.84MB) -> dpa mantenimiento.webp (2.55MB)
LOSSY q90 | estatico.jpg (10.82MB) -> estatico.webp (2.16MB)
LOSSY q90 | estatico_cropped.jpg (1.15MB) -> estatico_cropped.webp (0.78MB)
LOSSY q90 | FONDO 1.jpg (3.96MB) -> FONDO 1.webp (0.40MB)
LOSSY q90 | FONDO 2.jpg (5.01MB) -> FONDO 2.webp (0.59MB)
LOSSY q90 | FONDO 3.jpg (3.38MB) -> FONDO 3.webp (0.35MB)
LOSSY q90 | FONDO 4.jpg (4.59MB) -> FONDO 4.webp (0.47MB)
LOSSY q90 | imagentcp.jpg (0.90MB) -> imagentcp.webp (0.15MB)
LOSSLESS | logo-sky-hd-01-01.png (1.12MB) -> logo-sky-hd-01-01.webp (0.29MB)
LOSSLESS | Mesadetrabajo1.png (4.51MB) -> Mesadetrabajo1.webp (2.86MB)
LOSSY q90 | BlogTCP_1.jpg (4.46MB) -> BlogTCP_1.webp (1.84MB)
LOSSY q90 | Mesadetrabajo1.jpg (1.14MB) -> Mesadetrabajo1.webp (0.28MB)
LOSSY q90 | Fondo Trabaja con Nosotros.jpg (6.42MB) -> Fondo Trabaja con Nosotros.webp (0.81MB)
LOSSLESS | Instructores.png (1.67MB) -> Instructores.webp (1.24MB)
